undefinedin,victory_percentage,loose_percentage,split_percentage
2c2d,Ad3c,52,47,1
2c2d,Ad2s,65,34,1
2c2d,Ad2h,65,33,2
2c2d,AsAc,18,82,0
2c2d,AsAh,18,81,1
2c2d,AsAd,17,82,1
2c2d,AsKc,52,47,1
2c2d,AsKh,53,46,1
2c2d,AsKd,52,47,1
2c2d,AsKs,50,50,0
2c2d,AsQc,52,47,1
2c2d,AsQh,52,47,1
2c2d,AsQd,52,48,0
2c2d,AsQs,49,50,1
2c2d,AsJc,52,48,0
2c2d,AsJh,52,48,0
2c2d,AsJd,52,47,1
2c2d,AsJs,49,50,1
2c2d,AsTc,51,48,1
2c2d,AsTh,52,48,0
2c2d,AsTd,51,48,1
2c2d,AsTs,48,51,1
2c2d,As9s,50,50,0
2c2d,As9c,52,47,1
2c2d,As9h,53,47,0
2c2d,As9d,52,47,1
2c2d,As8s,49,50,1
2c2d,As8d,52,47,1
2c2d,As8h,53,47,0
2c2d,As8c,52,47,1
2c2d,As7s,49,50,1
2c2d,As7d,52,47,1
2c2d,As7h,52,47,1
2c2d,As7c,52,47,1
2c2d,As6s,50,50,0
2c2d,As6d,52,47,1
2c2d,As6h,53,46,1
2c2d,As6c,53,47,0
2c2d,As5s,49,50,1
2c2d,As5d,52,47,1
2c2d,As5h,53,47,0
2c2d,As5c,52,47,1
2c2d,As4s,50,50,0
2c2d,As4d,52,47,1
2c2d,As4h,53,47,0
2c2d,As4c,52,47,1
2c2d,As3s,50,49,1
2c2d,As3d,53,46,1
2c2d,As3h,53,46,1
2c2d,As3c,53,46,1
2c2d,As2s,61,37,2
2c2d,As2h,65,33,2
2c2d,KcKh,18,81,1
2c2d,KcKd,17,82,1
2c2d,KcKs,18,82,0
2c2d,KcQc,49,51,0
2c2d,KcQh,51,48,1
2c2d,KcQd,50,49,1
2c2d,KcQs,51,48,1
2c2d,KcJc,48,51,1
2c2d,KcJh,50,49,1
2c2d,KcJd,50,49,1
2c2d,KcJs,50,49,1
2c2d,KcTc,48,51,1
2c2d,KcTh,50,49,1
2c2d,KcTd,50,50,0
2c2d,KcTs,50,49,1
2c2d,Kc9s,51,48,1
2c2d,Kc9c,49,50,1
2c2d,Kc9h,51,48,1
2c2d,Kc9d,51,48,1
2c2d,Kc8s,52,47,1
2c2d,Kc8d,52,47,1
2c2d,Kc8h,52,47,1
2c2d,Kc8c,50,50,0
2c2d,Kc7s,52,47,1
2c2d,Kc7d,51,48,1
2c2d,Kc7h,52,48,0
2c2d,Kc7c,49,50,1
2c2d,Kc6s,52,47,1
2c2d,Kc6d,52,47,1
2c2d,Kc6h,52,47,1
2c2d,Kc6c,50,49,1
2c2d,Kc5s,53,46,1
2c2d,Kc5d,52,47,1
2c2d,Kc5h,53,46,1
2c2d,Kc5c,50,49,1
2c2d,Kc4s,53,46,1
2c2d,Kc4d,52,46,2
2c2d,Kc4h,53,47,0
2c2d,Kc4c,51,48,1
2c2d,Kc3s,53,46,1
2c2d,Kc3d,53,46,1
